lab,grp,metric,year,v,pct
ECPC 2015,World,Gross CO₂,2040,27187.25379516966,-37.26403949765288
ECPC 2015,World,Net CO₂,2040,23812.93609493522,-43.8311901868214
ECPC 2015*,Higher resp.,Gross CO₂,2040,12944.766205629889,-56.65603221746818
ECPC 2015*,Higher resp.,Net CO₂,2040,11269.028008429865,-61.664717896398
ECPC 2015*,Lower resp.,Gross CO₂,2040,12292.41501232013,-4.1345224441764135
ECPC 2015*,Lower resp.,Net CO₂,2040,10532.99861475619,-14.72022379506246
ECPC 2015*,World,Gross CO₂,2040,25899.60057472207,-40.235364302553656
ECPC 2015*,World,Net CO₂,2040,22525.43785621355,-46.8680791877095
ECPC 2025,Higher resp.,Gross CO₂,2040,13662.082733463003,-54.254185480463846
ECPC 2025,Higher resp.,Net CO₂,2040,12021.411503485355,-59.105239518008126
ECPC 2025,Lower resp.,Gross CO₂,2040,11866.402167865364,-7.456890322062004
ECPC 2025,Lower resp.,Net CO₂,2040,10094.364299212175,-18.271599584003972
ECPC 2025,World,Gross CO₂,2040,26189.54352088661,-39.56630631841313
ECPC 2025,World,Net CO₂,2040,22838.38124575964,-46.129923352594126
Source,Higher resp.,Gross CO₂,2040,16592.129567862095,-44.443281708693185
Source,Higher resp.,Net CO₂,2040,14941.802122431816,-49.170576284739234
Source,Lower resp.,Gross CO₂,2040,10273.935253109124,-19.876142448023348
Source,Lower resp.,Net CO₂,2040,8470.326897322984,-31.420518638026284
Source,World,Gross CO₂,2040,27497.05145631775,-36.549165756452915
Source,World,Net CO₂,2040,24113.37291839387,-43.122534239043766
CAPC 1990,Higher resp.,Gross CO₂,2045,9398.531549108699,-68.53016561314915
CAPC 1990,Higher resp.,Net CO₂,2045,7158.421072227991,-75.64829096041402
CAPC 1990,Lower resp.,Gross CO₂,2045,11951.491096237165,-6.793303000538897
CAPC 1990,Lower resp.,Net CO₂,2045,9573.237832268587,-22.49086800896688
CAPC 1990,World,Gross CO₂,2045,21990.23654375778,-49.25641914257751
CAPC 1990,World,Net CO₂,2045,17418.22254125755,-58.914733349005054
