ssp,region,year,driver,value
SSP1,N. America,2040,"Urban share
(%)",86.71790935840284
SSP1,N. America,2045,"GDP
(tn US$)",32.66793576399908
SSP1,N. America,2045,"GDP/cap
(000 US$)",78.63287084318344
SSP1,N. America,2045,"Population
(bn)",0.41544884999999987
SSP1,N. America,2045,"Urban share
(%)",88.10312379476802
SSP1,N. America,2050,"GDP
(tn US$)",35.083430176691536
SSP1,N. America,2050,"GDP/cap
(000 US$)",83.13822191733286
SSP1,N. America,2050,"Population
(bn)",0.421989181
SSP1,N. America,2050,"Urban share
(%)",89.59492679807587
SSP1,N. America,2055,"GDP
(tn US$)",37.388422911405435
SSP1,N. America,2055,"GDP/cap
(000 US$)",87.53711947322634
SSP1,N. America,2055,"Population
(bn)",0.42711507
SSP1,N. America,2055,"Urban share
(%)",91.13602392636953
SSP1,N. America,2060,"GDP
(tn US$)",39.67022926271603
SSP1,N. America,2060,"GDP/cap
(000 US$)",91.9843513209931
SSP1,N. America,2060,"Population
(bn)",0.431271501
SSP1,N. America,2060,"Urban share
(%)",92.65822333277941
SSP1,N. America,2070,"GDP
(tn US$)",44.20408728267446
SSP1,N. America,2070,"GDP/cap
(000 US$)",100.99690373650166
SSP1,N. America,2070,"Population
(bn)",0.437677648
SSP1,N. America,2070,"Urban share
(%)",95.36814844608197
SSP1,N. America,2080,"GDP
(tn US$)",48.452976581333054
SSP1,N. America,2080,"GDP/cap
(000 US$)",109.7197573828602
SSP1,N. America,2080,"Population
(bn)",0.441606669
SSP1,N. America,2080,"Urban share
(%)",97.35166240482656
SSP1,N. America,2090,"GDP
(tn US$)",52.17699704616734
SSP1,N. America,2090,"GDP/cap
(000 US$)",118.83547361817794
SSP1,N. America,2090,"Population
(bn)",0.439069206
SSP1,N. America,2090,"Urban share
(%)",98.58915716901812
SSP1,N. America,2100,"GDP
(tn US$)",54.872840895037164
SSP1,N. America,2100,"GDP/cap
(000 US$)",128.4611725478513
SSP1,N. America,2100,"Population
(bn)",0.427155068
SSP1,N. America,2100,"Urban share
(%)",99.2806535303966
SSP1,S. Asia,2020,"GDP
(tn US$)",10.85089264802
SSP1,S. Asia,2020,"GDP/cap
(000 US$)",5.797050173340033
SSP1,S. Asia,2020,"Population
(bn)",1.871795538
SSP1,S. Asia,2020,"Urban share
(%)",34.883209725334865
SSP1,S. Asia,2025,"GDP
(tn US$)",14.72538388998
SSP1,S. Asia,2025,"GDP/cap
(000 US$)",7.482128089479102
SSP1,S. Asia,2025,"Population
(bn)",1.968074285
SSP1,S. Asia,2025,"Urban share
(%)",37.930754775567834
SSP1,S. Asia,2030,"GDP
(tn US$)",19.401275842280977
SSP1,S. Asia,2030,"GDP/cap
(000 US$)",9.461519082930149
SSP1,S. Asia,2030,"Population
(bn)",2.0505455489999997
SSP1,S. Asia,2030,"Urban share
(%)",44.804880422929834
SSP1,S. Asia,2035,"GDP
(tn US$)",26.142996392563962
SSP1,S. Asia,2035,"GDP/cap
(000 US$)",12.365225371152539
SSP1,S. Asia,2035,"Population
(bn)",2.114235334
SSP1,S. Asia,2035,"Urban share
(%)",51.67354569523872
SSP1,S. Asia,2040,"GDP
(tn US$)",32.0127443622064
SSP1,S. Asia,2040,"GDP/cap
(000 US$)",14.821235345097236
SSP1,S. Asia,2040,"Population
(bn)",2.159924164
SSP1,S. Asia,2040,"Urban share
(%)",58.536329890903986
SSP1,S. Asia,2045,"GDP
(tn US$)",40.97513129728245
SSP1,S. Asia,2045,"GDP/cap
(000 US$)",18.685041943597422
SSP1,S. Asia,2045,"Population
(bn)",2.192937614
SSP1,S. Asia,2045,"Urban share
(%)",63.28576830283098
SSP1,S. Asia,2050,"GDP
(tn US$)",48.57341198395502
SSP1,S. Asia,2050,"GDP/cap
(000 US$)",21.952770243576992
SSP1,S. Asia,2050,"Population
(bn)",2.212632458
SSP1,S. Asia,2050,"Urban share
(%)",67.48821473714862
SSP1,S. Asia,2055,"GDP
(tn US$)",58.10044422870184
SSP1,S. Asia,2055,"GDP/cap
(000 US$)",26.18328824400606
SSP1,S. Asia,2055,"Population
(bn)",2.2189895969999998
SSP1,S. Asia,2055,"Urban share
(%)",71.17859444653224
SSP1,S. Asia,2060,"GDP
(tn US$)",67.11334529487587
SSP1,S. Asia,2060,"GDP/cap
(000 US$)",30.352759236832007
SSP1,S. Asia,2060,"Population
(bn)",2.211111839
SSP1,S. Asia,2060,"Urban share
(%)",74.40689843802559
SSP1,S. Asia,2070,"GDP
(tn US$)",87.0598928536066
SSP1,S. Asia,2070,"GDP/cap
(000 US$)",40.32668619844666
SSP1,S. Asia,2070,"Population
(bn)",2.1588655319999996
SSP1,S. Asia,2070,"Urban share
(%)",79.6905145964112
SSP1,S. Asia,2080,"GDP
(tn US$)",105.94374080980721
SSP1,S. Asia,2080,"GDP/cap
(000 US$)",51.30050021064189
SSP1,S. Asia,2080,"Population
(bn)",2.0651599959999998
SSP1,S. Asia,2080,"Urban share
(%)",83.73863285950655
SSP1,S. Asia,2090,"GDP
(tn US$)",121.9903055218705
SSP1,S. Asia,2090,"GDP/cap
(000 US$)",62.96951401607875
SSP1,S. Asia,2090,"Population
(bn)",1.93729152
SSP1,S. Asia,2090,"Urban share
(%)",86.87179082962331
SSP1,S. Asia,2100,"GDP
(tn US$)",134.7789946744587
SSP1,S. Asia,2100,"GDP/cap
(000 US$)",75.43062416753835
SSP1,S. Asia,2100,"Population
(bn)",1.786794106
SSP1,S. Asia,2100,"Urban share
(%)",89.32478864082285
SSP1,Sub-Sahara,2020,"GDP
(tn US$)",3.7778508966200004
SSP1,Sub-Sahara,2020,"GDP/cap
(000 US$)",3.484128987294908
SSP1,Sub-Sahara,2020,"Population
(bn)",1.084302823
SSP1,Sub-Sahara,2020,"Urban share
(%)",41.849620064947494
SSP1,Sub-Sahara,2025,"GDP
(tn US$)",4.578015808220002
SSP1,Sub-Sahara,2025,"GDP/cap
(000 US$)",3.7247351838531655
SSP1,Sub-Sahara,2025,"Population
(bn)",1.22908491
SSP1,Sub-Sahara,2025,"Urban share
(%)",43.94535885287779
SSP1,Sub-Sahara,2030,"GDP
(tn US$)",5.722063635355422
SSP1,Sub-Sahara,2030,"GDP/cap
(000 US$)",4.198257067072827
SSP1,Sub-Sahara,2030,"Population
(bn)",1.3629617109999999
SSP1,Sub-Sahara,2030,"Urban share
(%)",49.44500010524629
SSP1,Sub-Sahara,2035,"GDP
(tn US$)",7.347446642256977
SSP1,Sub-Sahara,2035,"GDP/cap
(000 US$)",4.938252869173966
SSP1,Sub-Sahara,2035,"Population
(bn)",1.48786359
SSP1,Sub-Sahara,2035,"Urban share
(%)",54.989890679736085
SSP1,Sub-Sahara,2040,"GDP
(tn US$)",9.626012977767758
SSP1,Sub-Sahara,2040,"GDP/cap
(000 US$)",5.989851655411787
SSP1,Sub-Sahara,2040,"Population
(bn)",1.607053652
SSP1,Sub-Sahara,2040,"Urban share
(%)",60.56217111823844
SSP1,Sub-Sahara,2045,"GDP
(tn US$)",12.57050185528754
SSP1,Sub-Sahara,2045,"GDP/cap
(000 US$)",7.286646555336293
SSP1,Sub-Sahara,2045,"Population
(bn)",1.725142253
SSP1,Sub-Sahara,2045,"Urban share
(%)",64.63117877501897
SSP1,Sub-Sahara,2050,"GDP
(tn US$)",16.08546798353489
SSP1,Sub-Sahara,2050,"GDP/cap
(000 US$)",8.752430832481933
SSP1,Sub-Sahara,2050,"Population
(bn)",1.837828632
SSP1,Sub-Sahara,2050,"Urban share
(%)",68.35675278249556
SSP1,Sub-Sahara,2055,"GDP
(tn US$)",20.80889535724803
SSP1,Sub-Sahara,2055,"GDP/cap
(000 US$)",10.740601742205197
SSP1,Sub-Sahara,2055,"Population
(bn)",1.937404985
SSP1,Sub-Sahara,2055,"Urban share
(%)",71.73340981880824
SSP1,Sub-Sahara,2060,"GDP
(tn US$)",25.68495593474983
SSP1,Sub-Sahara,2060,"GDP/cap
(000 US$)",12.705796731264385
SSP1,Sub-Sahara,2060,"Population
(bn)",2.021514784
SSP1,Sub-Sahara,2060,"Urban share
(%)",74.76945273660091
SSP1,Sub-Sahara,2070,"GDP
(tn US$)",39.07007068448271
SSP1,Sub-Sahara,2070,"GDP/cap
(000 US$)",18.189180566143087
SSP1,Sub-Sahara,2070,"Population
(bn)",2.1479841019999997
SSP1,Sub-Sahara,2070,"Urban share
(%)",79.90629306090321
SSP1,Sub-Sahara,2080,"GDP
(tn US$)",56.12494126937783
SSP1,Sub-Sahara,2080,"GDP/cap
(000 US$)",25.284020574391906
SSP1,Sub-Sahara,2080,"Population
(bn)",2.219779133
SSP1,Sub-Sahara,2080,"Urban share
(%)",83.96668968308883
SSP1,Sub-Sahara,2090,"GDP
(tn US$)",76.31619248649734
SSP1,Sub-Sahara,2090,"GDP/cap
(000 US$)",34.163387777212165
SSP1,Sub-Sahara,2090,"Population
(bn)",2.2338590359999997
SSP1,Sub-Sahara,2090,"Urban share
(%)",87.15665730206175
SSP1,Sub-Sahara,2100,"GDP
(tn US$)",99.2353236788419
SSP1,Sub-Sahara,2100,"GDP/cap
(000 US$)",45.288317373184896
SSP1,Sub-Sahara,2100,"Population
(bn)",2.191190343
