bud,region,lever,Unlimited (U),Lowest-f. (L),delta,contrib,xpos
2 °C,SAS,Novel CDR,3.715560184484362,2.194364325649927,-1.5211958588344352,1.5211958588344352,10.81
2 °C,WEU,CCS,3.603385513877194,1.749478790798573,-1.853906723078621,1.853906723078621,1.81
2 °C,WEU,Conventional CDR,15.644834026231779,15.369228431014434,-0.2756055952173444,0.2756055952173444,1.81
2 °C,WEU,Gross emissions,82.64148872586468,71.54618326228848,-11.095305463576196,-11.095305463576196,1.81
2 °C,WEU,Novel CDR,7.683301864186836,9.415688536099244,1.7323866719124084,-1.7323866719124084,1.81
1.5 °C,AFR,CCS,17.324823659783668,21.748250382878,4.42342672309433,-4.42342672309433,12.19
1.5 °C,AFR,Conventional CDR,48.38980299705114,48.10785727264284,-0.28194572440830257,0.28194572440830257,12.19
1.5 °C,AFR,Gross emissions,104.94127082450423,110.85218942426705,5.910918599762823,5.910918599762823,12.19
1.5 °C,AFR,Novel CDR,27.19591005834587,25.313579445054778,-1.8823306132910922,1.8823306132910922,12.19
1.5 °C,CHN,CCS,10.077688371861147,9.797068039360255,-0.2806203325008916,0.2806203325008916,3.19
1.5 °C,CHN,Conventional CDR,55.6256963987769,55.772467564384975,0.14677116560807235,-0.14677116560807235,3.19
1.5 °C,CHN,Gross emissions,251.96822665121977,230.599625591461,-21.36860105975876,-21.36860105975876,3.19
1.5 °C,CHN,Novel CDR,5.663292199319647,5.855231715909839,0.1919395165901916,-0.1919395165901916,3.19
1.5 °C,EEU,CCS,0.12927993603729931,0.1541585353108615,0.024878599273562174,-0.024878599273562174,4.19
1.5 °C,EEU,Conventional CDR,5.040850286408669,5.054648361785521,0.013798075376851848,-0.013798075376851848,4.19
1.5 °C,EEU,Gross emissions,19.830672582962315,19.1931877230558,-0.6374848599065146,-0.6374848599065146,4.19
1.5 °C,EEU,Novel CDR,1.6965762015042667,1.680285237142771,-0.016290964361495686,0.016290964361495686,4.19
1.5 °C,FSU,CCS,7.266634756309203,10.754695344483926,3.488060588174723,-3.488060588174723,5.19
1.5 °C,FSU,Conventional CDR,13.82999548473312,14.018530423504187,0.18853493877106686,-0.18853493877106686,5.19
1.5 °C,FSU,Gross emissions,52.71230627046288,56.564208613512065,3.8519023430491828,3.8519023430491828,5.19
1.5 °C,FSU,Novel CDR,31.623710899491915,25.94602071956192,-5.677690179929996,5.677690179929996,5.19
1.5 °C,LAM,CCS,6.471851423159456,6.670205776774362,0.1983543536149064,-0.1983543536149064,9.19
1.5 °C,LAM,Conventional CDR,125.87223462897762,126.31603405125608,0.4437994222784596,-0.4437994222784596,9.19
1.5 °C,LAM,Gross emissions,137.83672856587026,137.14878769285409,-0.6879408730161742,-0.6879408730161742,9.19
1.5 °C,LAM,Novel CDR,42.51454059068926,41.65345876892537,-0.8610818217638894,0.8610818217638894,9.19
1.5 °C,MEA,CCS,13.575479914753604,9.41510027080859,-4.160379643945014,4.160379643945014,6.19
1.5 °C,MEA,Conventional CDR,2.5453452129171663,2.54975344625983,0.004408233342663603,-0.004408233342663603,6.19
1.5 °C,MEA,Gross emissions,128.47693610683152,110.48703001067761,-17.989906096153902,-17.989906096153902,6.19
1.5 °C,MEA,Novel CDR,27.848621128156445,24.929470236903732,-2.9191508912527127,2.9191508912527127,6.19
1.5 °C,NAM,CCS,6.570690548764236,5.726403203242802,-0.8442873455214341,0.8442873455214341,1.19
1.5 °C,NAM,Conventional CDR,26.533627588761654,26.772613465553913,0.2389858767922597,-0.2389858767922597,1.19
1.5 °C,NAM,Gross emissions,133.54430349096717,132.50995197118277,-1.0343515197843942,-1.0343515197843942,1.19
1.5 °C,NAM,Novel CDR,36.41236746954359,38.882668871455444,2.470301401911854,-2.470301401911854,1.19
1.5 °C,PAO,CCS,7.594616863707285,3.534145927192418,-4.060470936514866,4.060470936514866,8.19
1.5 °C,PAO,Conventional CDR,21.60780905006814,21.545199301771785,-0.06260974829635657,0.06260974829635657,8.19
1.5 °C,PAO,Gross emissions,29.632322828200344,31.504738492848077,1.8724156646477326,1.8724156646477326,8.19
1.5 °C,PAO,Novel CDR,13.089397074448774,13.741165688590687,0.651768614141913,-0.651768614141913,8.19
1.5 °C,PAS,CCS,5.037333813882477,4.341764494011957,-0.6955693198705202,0.6955693198705202,10.19
1.5 °C,PAS,Conventional CDR,33.096703204092854,33.701802346707744,0.6050991426148897,-0.6050991426148897,10.19
1.5 °C,PAS,Gross emissions,84.29151794726495,89.96452068436587,5.673002737100916,5.673002737100916,10.19
1.5 °C,PAS,Novel CDR,14.905591928469857,15.546236653562879,0.6406447250930221,-0.6406447250930221,10.19
1.5 °C,RCPA,CCS,1.5864701854245773,1.2742974913091403,-0.312172694115437,0.312172694115437,7.19
1.5 °C,RCPA,Conventional CDR,11.192666680909992,10.876538026908941,-0.3161286540010515,0.3161286540010515,7.19
1.5 °C,RCPA,Gross emissions,20.83441002211174,16.323385699519253,-4.511024322592487,-4.511024322592487,7.19
1.5 °C,RCPA,Novel CDR,2.131118282551566,2.454992809629396,0.3238745270778298,-0.3238745270778298,7.19
1.5 °C,SAS,CCS,1.8469578501619486,1.9716967838619845,0.12473893370003597,-0.12473893370003597,11.19
1.5 °C,SAS,Conventional CDR,32.364510853680784,32.06001186089786,-0.3044989927829249,0.3044989927829249,11.19
1.5 °C,SAS,Gross emissions,120.75851383802278,146.68549748413238,25.926983646109605,25.926983646109605,11.19
1.5 °C,SAS,Novel CDR,3.3307104484121854,3.139248729693857,-0.1914617187183283,0.1914617187183283,11.19
1.5 °C,WEU,CCS,3.0900892070488033,2.2183818726767446,-0.8717073343720587,0.8717073343720587,2.19
1.5 °C,WEU,Conventional CDR,15.88790735830248,15.894829028690156,0.006921670387676215,-0.006921670387676215,2.19
1.5 °C,WEU,Gross emissions,66.56416496491454,62.795802110399826,-3.768362854514713,-3.768362854514713,2.19
1.5 °C,WEU,Novel CDR,8.452517147381426,9.310299677776172,0.8577825303947453,-0.8577825303947453,2.19
