model,scenario_set,variant,region,variable,unit,year,value,state,principle,start,src,ratio,grp,lab,ypos
SSP_SSP2_v6.5_ES,800fm_ecpc2015,L. SSP2-2C-ECPC2015,FSU,Price|Carbon,US$2010/t CO2,2030,36.35752799781676,Lowest-f. (L),ECPC,2015,38.00703055169213,0.9566000676734812,Higher resp.,ECPC 2015,5.15
SSP_SSP2_v6.5_ES,800fm_ecpc2015,L. SSP2-2C-ECPC2015,LAM,Price|Carbon,US$2010/t CO2,2030,37.58036253049822,Lowest-f. (L),ECPC,2015,38.00703055169213,0.9887739711574254,Lower resp.,ECPC 2015,4.85
SSP_SSP2_v6.5_ES,800fm_ecpc2015,L. SSP2-2C-ECPC2015,MEA,Price|Carbon,US$2010/t CO2,2030,56.12206928968542,Lowest-f. (L),ECPC,2015,38.00703055169213,1.476623363494699,Higher resp.,ECPC 2015,5.15
SSP_SSP2_v6.5_ES,800fm_ecpc2015,L. SSP2-2C-ECPC2015,NAM,Price|Carbon,US$2010/t CO2,2030,56.12206928968542,Lowest-f. (L),ECPC,2015,38.00703055169213,1.476623363494699,Higher resp.,ECPC 2015,5.15
SSP_SSP2_v6.5_ES,800fm_ecpc2015,L. SSP2-2C-ECPC2015,PAS,Price|Carbon,US$2010/t CO2,2030,31.94113568809412,Lowest-f. (L),ECPC,2015,38.00703055169213,0.8404007159846917,Lower resp.,ECPC 2015,4.85
SSP_SSP2_v6.5_ES,800fm_ecpc2015,L. SSP2-2C-ECPC2015,PAO,Price|Carbon,US$2010/t CO2,2030,36.50561049571844,Lowest-f. (L),ECPC,2015,38.00703055169213,0.9604962546618406,Higher resp.,ECPC 2015,5.15
SSP_SSP2_v6.5_ES,800fm_ecpc2015,L. SSP2-2C-ECPC2015,RCPA,Price|Carbon,US$2010/t CO2,2030,56.12206928968542,Lowest-f. (L),ECPC,2015,38.00703055169213,1.476623363494699,Higher resp.,ECPC 2015,5.15
SSP_SSP2_v6.5_ES,800fm_ecpc2015,L. SSP2-2C-ECPC2015,SAS,Price|Carbon,US$2010/t CO2,2030,24.59046644015938,Lowest-f. (L),ECPC,2015,38.00703055169213,0.6469978339064053,Lower resp.,ECPC 2015,4.85
SSP_SSP2_v6.5_ES,800fm_ecpc2015,L. SSP2-2C-ECPC2015,AFR,Price|Carbon,US$2010/t CO2,2030,24.59046644015937,Lowest-f. (L),ECPC,2015,38.00703055169213,0.6469978339064051,Lower resp.,ECPC 2015,4.85
SSP_SSP2_v6.5_ES,800fm_ecpc2015,L. SSP2-2C-ECPC2015,WEU,Price|Carbon,US$2010/t CO2,2030,56.12206928968541,Lowest-f. (L),ECPC,2015,38.00703055169213,1.4766233634946988,Higher resp.,ECPC 2015,5.15
