principle,start,cat,Source,Lowest-f. (L),tot,delta,lab,grp
ECPC,2015*,Other clean,3567.891643512499,3730.4853962200477,35335.446838700984,0.4601434741995928,ECPC 2015*,World
ECPC,2015*,Other energy,2115.7194358427387,2119.3892498629984,35335.446838700984,0.010385644865371895,ECPC 2015*,World
ECPC,2015*,Solar,3115.623745089393,3258.8979867640396,35335.446838700984,0.4054688832114215,ECPC 2015*,World
ECPC,2015*,Transmission,9556.452589597739,9405.08135837314,35335.446838700984,-0.42838352070536223,ECPC 2015*,World
ECPC,2015*,Wind,5513.8138096154025,5731.45437660782,35335.446838700984,0.6159270264386415,ECPC 2015*,World
ECPC,2025,Batteries,1335.5898443891704,1600.3621052185856,35335.446838700984,0.7493106342705838,ECPC 2025,World
ECPC,2025,CO₂ storage,0,0,35335.446838700984,0,ECPC 2025,World
ECPC,2025,Coal,245.0849964201551,254.0847916798945,35335.446838700984,0.02546959516550503,ECPC 2025,World
ECPC,2025,Gas,4133.203860146515,3823.651950827343,35335.446838700984,-0.876037908144227,ECPC 2025,World
ECPC,2025,Oil,5752.066914087371,5629.436792434522,35335.446838700984,-0.34704562308955467,ECPC 2025,World
ECPC,2025,Other clean,3567.891643512499,3677.8595152425974,35335.446838700984,0.3112112101824526,ECPC 2025,World
ECPC,2025,Other energy,2115.7194358427387,2093.3735807545995,35335.446838700984,-0.06323920337032492,ECPC 2025,World
ECPC,2025,Solar,3115.623745089393,3220.6924152449137,35335.446838700984,0.29734637469037056,ECPC 2025,World
ECPC,2025,Transmission,9556.452589597739,9409.026787912177,35335.446838700984,-0.4172178785753872,ECPC 2025,World
ECPC,2025,Wind,5513.8138096154025,5667.780566671234,35335.446838700984,0.4357289091564563,ECPC 2025,World
