variant,region,year,v,panel,gt,scope,tier
L. SSP2-2C-ECPC2015,NA,2045,142.40276949163848,Lower resp.,0.1424027694916385,FS-Lf.Trnsf-ALL,Lowest-f.
L. SSP2-2C-ECPC2015,NA,2050,265.44589018358175,Lower resp.,0.2654458901835818,FS-Lf.Trnsf-ALL,Lowest-f.
L. SSP2-2C-ECPC2015,NA,2055,464.4695513870929,Lower resp.,0.4644695513870929,FS-Lf.Trnsf-ALL,Lowest-f.
L. SSP2-2C-ECPC2015,NA,2060,772.8526484644758,Lower resp.,0.7728526484644758,FS-Lf.Trnsf-ALL,Lowest-f.
L. SSP2-2C-ECPC2015,NA,2070,1866.4648887541723,Lower resp.,1.8664648887541724,FS-Lf.Trnsf-ALL,Lowest-f.
L. SSP2-2C-ECPC2015,NA,2080,2057.5658233519985,Lower resp.,2.0575658233519984,FS-Lf.Trnsf-ALL,Lowest-f.
L. SSP2-2C-ECPC2015,NA,2090,1739.3949785845957,Lower resp.,1.7393949785845957,FS-Lf.Trnsf-ALL,Lowest-f.
L. SSP2-2C-ECPC2015,NA,2100,827.7132874789177,Lower resp.,0.8277132874789177,FS-Lf.Trnsf-ALL,Lowest-f.
L. SSP2-2C-ECPC2015-CDR,NA,2030,32.10697725918286,Higher resp.,0.032106977259182864,FS-Lf.Trnsf-CDR,Lowest-f.
L. SSP2-2C-ECPC2015-CDR,NA,2035,89.77873518433873,Higher resp.,0.08977873518433872,FS-Lf.Trnsf-CDR,Lowest-f.
L. SSP2-2C-ECPC2015-CDR,NA,2040,190.451111733867,Higher resp.,0.190451111733867,FS-Lf.Trnsf-CDR,Lowest-f.
L. SSP2-2C-ECPC2015-CDR,NA,2045,488.71191106441927,Higher resp.,0.48871191106441925,FS-Lf.Trnsf-CDR,Lowest-f.
L. SSP2-2C-ECPC2015-CDR,NA,2050,944.8189780885227,Higher resp.,0.9448189780885228,FS-Lf.Trnsf-CDR,Lowest-f.
L. SSP2-2C-ECPC2015-CDR,NA,2055,1654.9897314013283,Higher resp.,1.6549897314013282,FS-Lf.Trnsf-CDR,Lowest-f.
L. SSP2-2C-ECPC2015-CDR,NA,2060,2669.7747085729843,Higher resp.,2.669774708572984,FS-Lf.Trnsf-CDR,Lowest-f.
L. SSP2-2C-ECPC2015-CDR,NA,2070,2894.1265996640586,Higher resp.,2.894126599664059,FS-Lf.Trnsf-CDR,Lowest-f.
L. SSP2-2C-ECPC2015-CDR,NA,2080,2854.198341171941,Higher resp.,2.854198341171941,FS-Lf.Trnsf-CDR,Lowest-f.
L. SSP2-2C-ECPC2015-CDR,NA,2090,3276.3105851869896,Higher resp.,3.2763105851869896,FS-Lf.Trnsf-CDR,Lowest-f.
L. SSP2-2C-ECPC2015-CDR,NA,2100,4293.977821565234,Higher resp.,4.2939778215652344,FS-Lf.Trnsf-CDR,Lowest-f.
L. SSP2-2C-ECPC2015-CDR,NA,2030,19.033797054372585,Lower resp.,0.019033797054372584,FS-Lf.Trnsf-CDR,Lowest-f.
L. SSP2-2C-ECPC2015-CDR,NA,2035,55.27421422018067,Lower resp.,0.05527421422018067,FS-Lf.Trnsf-CDR,Lowest-f.
L. SSP2-2C-ECPC2015-CDR,NA,2040,160.04049455480902,Lower resp.,0.160040494554809,FS-Lf.Trnsf-CDR,Lowest-f.
L. SSP2-2C-ECPC2015-CDR,NA,2045,420.47146857455425,Lower resp.,0.42047146857455425,FS-Lf.Trnsf-CDR,Lowest-f.
L. SSP2-2C-ECPC2015-CDR,NA,2050,803.1326309059115,Lower resp.,0.8031326309059115,FS-Lf.Trnsf-CDR,Lowest-f.
L. SSP2-2C-ECPC2015-CDR,NA,2055,1446.6592824145669,Lower resp.,1.4466592824145668,FS-Lf.Trnsf-CDR,Lowest-f.
L. SSP2-2C-ECPC2015-CDR,NA,2060,2410.522067610938,Lower resp.,2.410522067610938,FS-Lf.Trnsf-CDR,Lowest-f.
L. SSP2-2C-ECPC2015-CDR,NA,2070,2523.5131442259603,Lower resp.,2.5235131442259604,FS-Lf.Trnsf-CDR,Lowest-f.
L. SSP2-2C-ECPC2015-CDR,NA,2080,2616.029208683055,Lower resp.,2.616029208683055,FS-Lf.Trnsf-CDR,Lowest-f.
L. SSP2-2C-ECPC2015-CDR,NA,2090,2379.3071983036775,Lower resp.,2.3793071983036773,FS-Lf.Trnsf-CDR,Lowest-f.
L. SSP2-2C-ECPC2015-CDR,NA,2100,1506.4457957129548,Lower resp.,1.506445795712955,FS-Lf.Trnsf-CDR,Lowest-f.
Source scenario,NA,2030,20.589286691920073,Higher resp.,0.02058928669192007,Source,Source
Source scenario,NA,2035,53.8057796631903,Higher resp.,0.0538057796631903,Source,Source
Source scenario,NA,2040,117.0147092154724,Higher resp.,0.1170147092154724,Source,Source
Source scenario,NA,2045,227.28391758139622,Higher resp.,0.2272839175813962,Source,Source
Source scenario,NA,2050,411.0130507322195,Higher resp.,0.4110130507322195,Source,Source
Source scenario,NA,2055,683.1558228068059,Higher resp.,0.6831558228068059,Source,Source
Source scenario,NA,2060,1084.5856409698542,Higher resp.,1.0845856409698542,Source,Source
Source scenario,NA,2070,2196.3377188689083,Higher resp.,2.196337718868908,Source,Source
Source scenario,NA,2080,2194.488923413854,Higher resp.,2.194488923413854,Source,Source
Source scenario,NA,2090,2415.266255150694,Higher resp.,2.4152662551506943,Source,Source
Source scenario,NA,2100,3598.065256451077,Higher resp.,3.598065256451077,Source,Source
Source scenario,NA,2030,12.845276568806693,Lower resp.,0.012845276568806692,Source,Source
Source scenario,NA,2035,39.245853610041976,Lower resp.,0.03924585361004198,Source,Source
Source scenario,NA,2040,84.10844867728875,Lower resp.,0.08410844867728876,Source,Source
Source scenario,NA,2045,163.68676185360627,Lower resp.,0.16368676185360628,Source,Source
Source scenario,NA,2050,302.55061273018475,Lower resp.,0.30255061273018474,Source,Source
Source scenario,NA,2055,528.6142734386544,Lower resp.,0.5286142734386544,Source,Source
Source scenario,NA,2060,895.2149629503228,Lower resp.,0.8952149629503229,Source,Source
Source scenario,NA,2070,2080.844558066699,Lower resp.,2.080844558066699,Source,Source
Source scenario,NA,2080,2322.848158353793,Lower resp.,2.322848158353793,Source,Source
Source scenario,NA,2090,2317.639273640424,Lower resp.,2.3176392736404243,Source,Source
Source scenario,NA,2100,1537.6467844789881,Lower resp.,1.537646784478988,Source,Source
U. SSP2-2C-ECPC2015,NA,2030,20.629495927835276,Higher resp.,0.020629495927835275,FS-Lf.Trnsf-ALL,Unlimited
U. SSP2-2C-ECPC2015,NA,2035,53.89279136408829,Higher resp.,0.05389279136408829,FS-Lf.Trnsf-ALL,Unlimited
U. SSP2-2C-ECPC2015,NA,2040,117.54485452758091,Higher resp.,0.11754485452758091,FS-Lf.Trnsf-ALL,Unlimited
U. SSP2-2C-ECPC2015,NA,2045,228.089451640961,Higher resp.,0.22808945164096098,FS-Lf.Trnsf-ALL,Unlimited
U. SSP2-2C-ECPC2015,NA,2050,412.1097621118279,Higher resp.,0.41210976211182787,FS-Lf.Trnsf-ALL,Unlimited
U. SSP2-2C-ECPC2015,NA,2055,683.3502294393493,Higher resp.,0.6833502294393493,FS-Lf.Trnsf-ALL,Unlimited
U. SSP2-2C-ECPC2015,NA,2060,1085.534000583962,Higher resp.,1.085534000583962,FS-Lf.Trnsf-ALL,Unlimited
U. SSP2-2C-ECPC2015,NA,2070,2194.5382229025404,Higher resp.,2.1945382229025405,FS-Lf.Trnsf-ALL,Unlimited
U. SSP2-2C-ECPC2015,NA,2080,2199.6540456908942,Higher resp.,2.1996540456908944,FS-Lf.Trnsf-ALL,Unlimited
U. SSP2-2C-ECPC2015,NA,2090,2419.0457097034714,Higher resp.,2.419045709703471,FS-Lf.Trnsf-ALL,Unlimited
U. SSP2-2C-ECPC2015,NA,2100,3575.5643969524567,Higher resp.,3.5755643969524566,FS-Lf.Trnsf-ALL,Unlimited
U. SSP2-2C-ECPC2015,NA,2030,12.706788867314188,Lower resp.,0.012706788867314188,FS-Lf.Trnsf-ALL,Unlimited
U. SSP2-2C-ECPC2015,NA,2035,39.04204269693544,Lower resp.,0.03904204269693544,FS-Lf.Trnsf-ALL,Unlimited
U. SSP2-2C-ECPC2015,NA,2040,83.81056646469843,Lower resp.,0.08381056646469842,FS-Lf.Trnsf-ALL,Unlimited
U. SSP2-2C-ECPC2015,NA,2045,163.1667757919326,Lower resp.,0.1631667757919326,FS-Lf.Trnsf-ALL,Unlimited
U. SSP2-2C-ECPC2015,NA,2050,301.02005662097156,Lower resp.,0.30102005662097153,FS-Lf.Trnsf-ALL,Unlimited
U. SSP2-2C-ECPC2015,NA,2055,526.2622757304595,Lower resp.,0.5262622757304595,FS-Lf.Trnsf-ALL,Unlimited
U. SSP2-2C-ECPC2015,NA,2060,891.6322686673113,Lower resp.,0.8916322686673114,FS-Lf.Trnsf-ALL,Unlimited
U. SSP2-2C-ECPC2015,NA,2070,2084.7394538072003,Lower resp.,2.0847394538072,FS-Lf.Trnsf-ALL,Unlimited
U. SSP2-2C-ECPC2015,NA,2080,2319.298274989269,Lower resp.,2.319298274989269,FS-Lf.Trnsf-ALL,Unlimited
U. SSP2-2C-ECPC2015,NA,2090,2314.486151320499,Lower resp.,2.3144861513204993,FS-Lf.Trnsf-ALL,Unlimited
U. SSP2-2C-ECPC2015,NA,2100,1542.2770414933666,Lower resp.,1.5422770414933666,FS-Lf.Trnsf-ALL,Unlimited
U. SSP2-2C-ECPC2015-CDR,NA,2030,32.11262105675116,Higher resp.,0.03211262105675116,FS-Lf.Trnsf-CDR,Unlimited
U. SSP2-2C-ECPC2015-CDR,NA,2035,89.7885870517762,Higher resp.,0.0897885870517762,FS-Lf.Trnsf-CDR,Unlimited
U. SSP2-2C-ECPC2015-CDR,NA,2040,190.468309248631,Higher resp.,0.19046830924863098,FS-Lf.Trnsf-CDR,Unlimited
U. SSP2-2C-ECPC2015-CDR,NA,2045,493.9024087330172,Higher resp.,0.49390240873301716,FS-Lf.Trnsf-CDR,Unlimited
U. SSP2-2C-ECPC2015-CDR,NA,2050,955.8855712563891,Higher resp.,0.9558855712563891,FS-Lf.Trnsf-CDR,Unlimited
U. SSP2-2C-ECPC2015-CDR,NA,2055,1672.4385532620468,Higher resp.,1.6724385532620467,FS-Lf.Trnsf-CDR,Unlimited
U. SSP2-2C-ECPC2015-CDR,NA,2060,2677.8838373792773,Higher resp.,2.6778838373792775,FS-Lf.Trnsf-CDR,Unlimited
U. SSP2-2C-ECPC2015-CDR,NA,2070,2905.129717059469,Higher resp.,2.9051297170594688,FS-Lf.Trnsf-CDR,Unlimited
U. SSP2-2C-ECPC2015-CDR,NA,2080,2878.9076416076946,Higher resp.,2.8789076416076944,FS-Lf.Trnsf-CDR,Unlimited
U. SSP2-2C-ECPC2015-CDR,NA,2090,3274.9679357073474,Higher resp.,3.2749679357073473,FS-Lf.Trnsf-CDR,Unlimited
U. SSP2-2C-ECPC2015-CDR,NA,2100,4279.723325050491,Higher resp.,4.279723325050491,FS-Lf.Trnsf-CDR,Unlimited
U. SSP2-2C-ECPC2015-CDR,NA,2030,19.032718074653914,Lower resp.,0.019032718074653916,FS-Lf.Trnsf-CDR,Unlimited
U. SSP2-2C-ECPC2015-CDR,NA,2035,55.27410997143254,Lower resp.,0.05527410997143254,FS-Lf.Trnsf-CDR,Unlimited
U. SSP2-2C-ECPC2015-CDR,NA,2040,160.02445668895228,Lower resp.,0.1600244566889523,FS-Lf.Trnsf-CDR,Unlimited
U. SSP2-2C-ECPC2015-CDR,NA,2045,418.7975007793756,Lower resp.,0.4187975007793756,FS-Lf.Trnsf-CDR,Unlimited
U. SSP2-2C-ECPC2015-CDR,NA,2050,800.354963950834,Lower resp.,0.8003549639508339,FS-Lf.Trnsf-CDR,Unlimited
U. SSP2-2C-ECPC2015-CDR,NA,2055,1441.9932936491864,Lower resp.,1.4419932936491864,FS-Lf.Trnsf-CDR,Unlimited
U. SSP2-2C-ECPC2015-CDR,NA,2060,2406.237115880744,Lower resp.,2.406237115880744,FS-Lf.Trnsf-CDR,Unlimited
U. SSP2-2C-ECPC2015-CDR,NA,2070,2530.672489093406,Lower resp.,2.5306724890934063,FS-Lf.Trnsf-CDR,Unlimited
U. SSP2-2C-ECPC2015-CDR,NA,2080,2623.149429367258,Lower resp.,2.623149429367258,FS-Lf.Trnsf-CDR,Unlimited
U. SSP2-2C-ECPC2015-CDR,NA,2090,2412.290184507731,Lower resp.,2.412290184507731,FS-Lf.Trnsf-CDR,Unlimited
U. SSP2-2C-ECPC2015-CDR,NA,2100,1520.7190597121896,Lower resp.,1.5207190597121896,FS-Lf.Trnsf-CDR,Unlimited
